Duration (hh:mm:ss.ms),Trial ID,Song_x,Valence,Arousal,Quadrant Color,Song_y,Tempo (bpm),Tempo Std Dev,Mean BPM,Coefficient of Variation,Rolling Coefficient of Variation,Instantaneous Rate of Tempo Change,Timestamp,Rate_of_Tempo_Change,ABSOLUTE RATE CHANGE,Tempo_Acceleration,Tempo_Change_Percentage,ABSOLUTE CHANGE PERCENTAGE,abs tempo change percentage,Arousal_Change,ABSOLUTE AROUSAL CHANGE,Tempo_Change_Category,Arousal_Response_Category
000:00:01.502000,15.1.csv,Audio File 15.mp3,-0.188026736,0.463400174,Yellow,Audio File 15,132.5120192,0,0,0,0,0,1.502,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change
000:00:01.984000,15.1.csv,Audio File 15.mp3,-0.188026736,0.688916013,Yellow,Audio File 15,132.5120192,0,0,0,0,0,1.984,-39.75360577,39.75360577,,0,0,0,0.225515838,0.225515838,Small Change (0-5%),No Change
000:00:02.038000,15.9.csv,Audio File 15.mp3,-0.052643785,0.486085343,Yellow,Audio File 15,132.5120192,0,132.5120192,0,0,0,2.038,0,0,0,0,0,0,-0.20283067,0.20283067,Small Change (0-5%),No Change
000:00:02.052000,15.8.csv,Audio File 15.mp3,0.121397527,0.217364309,Green,Audio File 15,132.5120192,0,132.5120192,0,0,0,2.052,0,0,0,0,0,0,-0.268721034,0.268721034,Small Change (0-5%),No Change
000:00:02.166000,15.5.csv,Audio File 15.mp3,-0.009677419,0.140451613,Yellow,Audio File 15,132.5120192,0,132.5120192,0,0,0,2.166,0,0,0,0,0,0,-0.076912696,0.076912696,Small Change (0-5%),No Change
000:00:02.184000,15.7.csv,Audio File 15.mp3,-0.072743001,0.460117737,Yellow,Audio File 15,132.5120192,0,132.5120192,0,0,0,2.184,0,0,0,0,0,0,0.319666124,0.319666124,Small Change (0-5%),No Change
000:00:02.294000,15.6.csv,Audio File 15.mp3,0.179587516,0.141533866,Green,Audio File 15,132.5120192,0,132.5120192,0,0,0,2.294,0,0,0,0,0,0,-0.318583871,0.318583871,Small Change (0-5%),No Change
000:00:02.366000,15.15.csv,Audio File 15.mp3,-0.064008624,0.50315832,Yellow,Audio File 15,132.5120192,0,132.5120192,0,0,0,2.366,0,0,0,0,0,0,0.361624454,0.361624454,Small Change (0-5%),No Change
000:00:02.562000,15.19.csv,Audio File 15.mp3,-0.04987339,0.477309259,Yellow,Audio File 15,109.9567819,13.02227234,124.9936068,-0.170212766,0.034727836,-115.0777414,2.562,-22.55523732,22.55523732,-587.1313337,-17.0212766,17.0212766,17.0212766,-0.025849061,0.025849061,Large Change (>15%),Decrease in Tempo → Decrease in Arousal
000:00:02.701000,15.10.csv,Audio File 15.mp3,-0.078341014,0.562453368,Yellow,Audio File 15,109.9567819,13.02227234,117.4751944,0,0.071678253,0,2.701,0,0,827.8974202,0,0,0,0.085144109,0.085144109,Small Change (0-5%),No Change
000:00:02.734000,15.4.csv,Audio File 15.mp3,0.009677419,-0.001483871,Blue,Audio File 15,109.9567819,0,109.9567819,0,0.071678253,0,2.734,0,0,0,0,0,0,-0.563937239,0.563937239,Small Change (0-5%),No Change
000:00:02.933000,15.14.csv,Audio File 15.mp3,-0.032419856,0.108339531,Yellow,Audio File 15,109.9567819,0,109.9567819,0,0.036950417,0,2.933,0,0,0,0,0,0,0.109823402,0.109823402,Small Change (0-5%),No Change
