Duration (hh:mm:ss.ms),Trial ID,Song_x,Valence,Arousal,Quadrant Color,Song_y,Tempo (bpm),Tempo Std Dev,Mean BPM,Coefficient of Variation,Rolling Coefficient of Variation,Instantaneous Rate of Tempo Change,Timestamp,Rate_of_Tempo_Change,ABSOLUTE RATE CHANGE,Tempo_Acceleration,Tempo_Change_Percentage,ABSOLUTE CHANGE PERCENTAGE,abs tempo change percentage,Arousal_Change,ABSOLUTE AROUSAL CHANGE,Tempo_Change_Category,Arousal_Response_Category,Normalized_Rate_of_Tempo_Change,Normalized_Tempo_Change_Percentage
000:00:00.883000,1.10.csv,Audio File 1.mp3,0.337033209,-0.67905451,Blue,Audio File 1,126.0480183,0.0,126.0480183,0.0,0.0,0.0,0.883,0.0,0,0,0.0,0,0,0.028102995,0.028102995,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:00.954000,1.8.csv,Audio File 1.mp3,0.355206018,-0.492629819,Blue,Audio File 1,126.0480183,0.0,126.0480183,0.0,0.0,0.0,0.954,0.0,0,0,0.0,0,0,0.18642469,0.18642469,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:01.085000,1.12.csv,Audio File 1.mp3,0.248133992,-0.707401997,Blue,Audio File 1,126.0480183,0.0,126.0480183,0.0,0.0,0.0,1.085,0.0,0,0,0.0,0,0,-0.214772178,0.214772178,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:01.147000,1.17.csv,Audio File 1.mp3,0.156374238,-0.755632123,Blue,Audio File 1,126.0480183,0.0,126.0480183,0.0,0.0,0.0,1.147,0.0,0,0,0.0,0,0,-0.048230126,0.048230126,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:01.201000,1.19.csv,Audio File 1.mp3,0.337547915,-0.746019032,Blue,Audio File 1,126.0480183,0.0,126.0480183,0.0,0.0,0.0,1.201,0.0,0,0,0.0,0,0,0.009613091,0.009613091,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:01.383000,1.13.csv,Audio File 1.mp3,0.31429731,-0.692022263,Blue,Audio File 1,126.0480183,0.0,126.0480183,0.0,0.0,0.0,1.383,0.0,0,0,0.0,0,0,0.053996769,0.053996769,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:01.665000,1.11.csv,Audio File 1.mp3,0.314500315,-0.73996374,Blue,Audio File 1,123.046875,1.732710888,125.0476372,-0.023809524,0.004618802,-10.6423521,1.665,-3.001143293,3.001143293,-37.73883724,-2.380952381,2.380952381,2.380952381,-0.047941477,0.047941477,Small Change (0-5%),Decrease in Tempo → Decrease in Arousal,0.4466130884118532,0.36759276636969185
000:00:01.971000,1.15.csv,Audio File 1.mp3,0.06025563,-0.669093122,Blue,Audio File 1,123.046875,1.732710888,124.0472561,0.0,0.009274853,0.0,1.971,0.0,0,34.77892844,0.0,0,0,0.070870618,0.070870618,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:02.067000,1.16.csv,Audio File 1.mp3,0.368491322,-0.271028037,Blue,Audio File 1,123.046875,0.0,123.046875,0.0,0.009274853,0.0,2.067,0.0,0,0,0.0,0,0,0.398065085,0.398065085,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:02.125000,1.5.csv,Audio File 1.mp3,0.288346788,-0.720603721,Blue,Audio File 1,123.046875,0.0,123.046875,0.0,0.004656051,0.0,2.125,0.0,0,0,0.0,0,0,-0.449575683,0.449575683,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:02.131000,1.9.csv,Audio File 1.mp3,0.296844429,-0.57522701,Blue,Audio File 1,123.046875,0.0,123.046875,0.0,0.0,0.0,2.131,0.0,0,0,0.0,0,0,0.14537671,0.14537671,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:02.283000,1.4.csv,Audio File 1.mp3,0.296384114,-0.502541718,Blue,Audio File 1,123.046875,0.0,123.046875,0.0,0.0,0.0,2.283,0.0,0,0,0.0,0,0,0.072685292,0.072685292,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:02.380000,1.14.csv,Audio File 1.mp3,0.323012397,-0.193721088,Blue,Audio File 1,123.046875,0.0,123.046875,0.0,0.0,0.0,2.38,0.0,0,0,0.0,0,0,0.30882063,0.30882063,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:02.501000,1.3.csv,Audio File 1.mp3,0.259328627,-0.622985572,Blue,Audio File 1,126.0480183,1.732710888,124.0472561,0.024390244,0.004656051,24.80283713,2.501,3.001143293,3.001143293,204.982125,2.43902439,2.43902439,2.43902439,-0.429264484,0.429264484,Small Change (0-5%),Increase in Tempo → Decrease in Arousal,0.5177956372197674,0.4480946123087131
000:00:02.567000,1.19.csv,Audio File 1.mp3,0.335640864,-0.500009535,Blue,Audio File 1,126.0480183,1.732710888,125.0476372,0.0,0.009274853,0.0,2.567,0.0,0,-375.8005626,0.0,0,0,0.122976037,0.122976037,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:02.798000,1.2.csv,Audio File 1.mp3,0.36038961,-0.590909091,Blue,Audio File 1,126.0480183,0.0,126.0480183,0.0,0.009274853,0.0,2.798,0.0,0,0,0.0,0,0,-0.090899556,0.090899556,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:02.953000,1.1.csv,Audio File 1.mp3,0.367127496,-0.440911418,Blue,Audio File 1,126.0480183,0.0,126.0480183,0.0,0.004618802,0.0,2.953,0.0,0,0,0.0,0,0,0.149997673,0.149997673,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:04.398000,1.14.csv,Audio File 1.mp3,0.594399556,-0.188786776,Blue,Audio File 1,123.046875,1.732710888,125.0476372,-0.023809524,0.004618802,-2.076915773,4.398,-3.001143293,3.001143293,-1.437311954,-2.380952381,2.380952381,2.380952381,0.252124642,0.252124642,Small Change (0-5%),Decrease in Tempo → Increase in Arousal,0.4466130884118532,0.36759276636969185
000:00:07.197000,1.2.csv,Audio File 1.mp3,0.298701299,-0.321428571,Blue,Audio File 1,123.046875,1.732710888,124.0472561,0.0,0.009274853,0.0,7.197,0.0,0,0.742020641,0.0,0,0,-0.132641795,0.132641795,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:08.859000,1.20.csv,Audio File 1.mp3,0.271103896,-0.73538961,Blue,Audio File 1,126.0480183,1.732710888,124.0472561,0.024390244,0.013930903,1.805742053,8.859,3.001143293,3.001143293,1.086487397,2.43902439,2.43902439,2.43902439,-0.413961039,0.413961039,Small Change (0-5%),Increase in Tempo → Decrease in Arousal,0.5177956372197674,0.4480946123087131
000:00:10.385000,1.3.csv,Audio File 1.mp3,0.375820693,-0.460390639,Blue,Audio File 1,123.046875,1.732710888,124.0472561,-0.023809524,0.013968152,-1.966673193,10.385,-3.001143293,3.001143293,-2.472093871,-2.380952381,2.380952381,2.380952381,0.274998971,0.274998971,Small Change (0-5%),Decrease in Tempo → Increase in Arousal,0.4466130884118532,0.36759276636969185
000:00:10.414000,1.20.csv,Audio File 1.mp3,0.345779221,-0.542207792,Blue,Audio File 1,123.046875,1.732710888,124.0472561,0.0,0.013968152,0.0,10.414,0.0,0,67.816317,0.0,0,0,-0.081817153,0.081817153,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:11.583000,1.19.csv,Audio File 1.mp3,0.316570361,-0.267349391,Blue,Audio File 1,117.4538352,3.229143018,121.1825284,-0.045454545,0.018194413,-4.784465161,11.583,-5.593039773,5.593039773,-4.092784569,-4.545454545,4.545454545,4.545454545,0.274858402,0.274858402,Small Change (0-5%),Decrease in Tempo → Increase in Arousal,0.41587516961220916,0.3314418826580977
000:00:12.402000,1.2.csv,Audio File 1.mp3,0.181818182,-0.321428571,Blue,Audio File 1,117.4538352,3.229143018,119.3181818,0.0,0.02255946,0.0,12.402,0.0,0,5.841837803,0.0,0,0,-0.054079181,0.054079181,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:12.852000,1.10.csv,Audio File 1.mp3,0.474093381,-0.566710107,Blue,Audio File 1,123.046875,3.229143018,119.3181818,0.047619048,0.026924508,12.42897727,12.852,5.593039773,5.593039773,27.61994949,4.761904762,4.761904762,4.761904762,-0.245281535,0.245281535,Small Change (0-5%),Increase in Tempo → Decrease in Arousal,0.5485335560194115,0.48689068264801566
000:00:13.617000,1.12.csv,Audio File 1.mp3,0.326176135,-0.533307986,Blue,Audio File 1,123.046875,3.229143018,121.1825284,0.0,0.026924508,0.0,13.617,0.0,0,-16.24702911,0.0,0,0,0.03340212,0.03340212,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:15.891000,1.15.csv,Audio File 1.mp3,0.084601339,-0.386682897,Blue,Audio File 1,123.046875,0.0,123.046875,0.0,0.01790341,0.0,15.891,0.0,0,0,0.0,0,0,0.146625089,0.146625089,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:16.080000,1.17.csv,Audio File 1.mp3,0.214683276,-0.445534058,Blue,Audio File 1,123.046875,0.0,123.046875,0.0,0.008882312,0.0,16.08,0.0,0,0,0.0,0,0,-0.058851161,0.058851161,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:16.160000,1.5.csv,Audio File 1.mp3,0.277816778,-0.487188487,Blue,Audio File 1,123.046875,0.0,123.046875,0.0,0.0,0.0,16.16,0.0,0,0,0.0,0,0,-0.041654429,0.041654429,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:16.370000,1.1.csv,Audio File 1.mp3,0.464413722,-0.213056836,Blue,Audio File 1,123.046875,0.0,123.046875,0.0,0.0,0.0,16.37,0.0,0,0,0.0,0,0,0.274131652,0.274131652,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:16.645000,1.2.csv,Audio File 1.mp3,0.279220779,-0.201298701,Blue,Audio File 1,126.0480183,1.732710888,124.0472561,0.024390244,0.004656051,10.91324834,16.645,3.001143293,3.001143293,39.68453941,2.43902439,2.43902439,2.43902439,0.011758134,0.011758134,Small Change (0-5%),Increase in Tempo → Increase in Arousal,0.5177956372197674,0.4480946123087131
000:00:16.796000,1.17.csv,Audio File 1.mp3,0.22793533,-0.230850782,Blue,Audio File 1,126.0480183,1.732710888,125.0476372,0.0,0.009274853,0.0,16.796,0.0,0,-72.27316779,0.0,0,0,-0.029552081,0.029552081,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:18.321000,1.11.csv,Audio File 1.mp3,0.49025049,-0.532763533,Blue,Audio File 1,123.046875,1.732710888,125.0476372,-0.023809524,0.013893655,-1.967962815,18.321,-3.001143293,3.001143293,-1.29046742,-2.380952381,2.380952381,2.380952381,-0.301912751,0.301912751,Small Change (0-5%),Decrease in Tempo → Decrease in Arousal,0.4466130884118532,0.36759276636969185
000:00:18.722000,1.15.csv,Audio File 1.mp3,0.218502739,0.005283019,Green,Audio File 1,126.0480183,1.732710888,125.0476372,0.024390244,0.013856406,7.484147862,18.722,3.001143293,3.001143293,23.57134832,2.43902439,2.43902439,2.43902439,0.538046552,0.538046552,Small Change (0-5%),Increase in Tempo → Increase in Arousal,0.5177956372197674,0.4480946123087131
000:00:18.967000,1.19.csv,Audio File 1.mp3,0.293685756,-0.10715716,Blue,Audio File 1,126.0480183,1.732710888,125.0476372,0.0,0.013856406,0.0,18.967,0.0,0,-30.54754229,0.0,0,0,-0.112440179,0.112440179,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:19.366000,1.11.csv,Audio File 1.mp3,0.482850483,-0.318163318,Blue,Audio File 1,126.0480183,0.0,126.0480183,0.0,0.009237604,0.0,19.366,0.0,0,0,0.0,0,0,-0.211006158,0.211006158,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:19.838000,1.15.csv,Audio File 1.mp3,0.452221546,0.107534997,Green,Audio File 1,123.046875,1.732710888,125.0476372,-0.023809524,0.009237604,-6.358354434,19.838,-3.001143293,3.001143293,-13.4710899,-2.380952381,2.380952381,2.380952381,0.425698315,0.425698315,Small Change (0-5%),Decrease in Tempo → Increase in Arousal,0.4466130884118532,0.36759276636969185
000:00:20.670000,1.1.csv,Audio File 1.mp3,0.497695853,0.017357911,Green,Audio File 1,123.046875,1.732710888,124.0472561,0.0,0.009274853,0.0,20.67,0.0,0,7.642252925,0.0,0,0,-0.090177086,0.090177086,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:20.770000,1.4.csv,Audio File 1.mp3,0.429307898,-0.321118715,Blue,Audio File 1,123.046875,0.0,123.046875,0.0,0.009274853,0.0,20.77,0.0,0,0,0.0,0,0,-0.338476626,0.338476626,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:21.054000,1.17.csv,Audio File 1.mp3,0.225284919,-0.071826133,Blue,Audio File 1,123.046875,0.0,123.046875,0.0,0.004656051,0.0,21.054,0.0,0,0,0.0,0,0,0.249292582,0.249292582,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:21.340000,1.2.csv,Audio File 1.mp3,0.38961039,-0.165584416,Blue,Audio File 1,123.046875,0.0,123.046875,0.0,0.0,0.0,21.34,0.0,0,0,0.0,0,0,-0.093758283,0.093758283,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:23.672000,1.2.csv,Audio File 1.mp3,0.50974026,-0.230519481,Blue,Audio File 1,123.046875,0.0,123.046875,0.0,0.0,0.0,23.672,0.0,0,0,0.0,0,0,-0.064935065,0.064935065,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
